"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"2236240","1","10",,,,"<B> CONCEPT: </B>The International Patent Classification (IPC) is the Eurostat standard hierarchical patent classification system, to classify the content of patents in a uniform manner. It creates a hierarchical system of language-independent symbols for the classification of patents and utility models according to the different technical fields to which they belong. The classification system containts symbols or codes that can be allotted to patent documents. Symbols are arranged in eight sections corresponding to very broad technical fields (e.g., Section C deals with chemistry and metallurgy).",
"2236241","1","20",,"IPC",,"International patent classification (IPC) - total",
"2236242","1","30",,"A",,"Section A - Human necessities",
"2236243","1","40",,"A01",,"Agriculture; forestry; animal husbandry; hunting; trapping; fishing",
"2236244","1","50",,"A21",,"Baking; equipment for making or processing doughs; doughs for baking",
"2236245","1","60",,"A22",,"Butchering; meat treatment; processing poultry or fish",
"2236246","1","70",,"A23",,"Foods or foodstuffs; their treatment, not covered by other classes",
"2236247","1","80",,"A24",,"Tobacco; cigars; cigarettes; smokers' requisites",
"2236248","1","90",,"A41",,"Wearing apparel",
"2236249","1","100",,"A42",,"Headwear",
"2236250","1","110",,"A43",,"Footwear",
"2236251","1","120",,"A44",,"Haberdashery; jewellery",
"2236252","1","130",,"A45",,"Hand or travelling articles",
"2236253","1","140",,"A46",,"Brushware",
"2236254","1","150",,"A47",,"Furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general",
"2236255","1","160",,"A61",,"Medical or veterinary science; hygiene",
"2236256","1","170",,"A62",,"Life-saving; fire-fighting",
"2236257","1","180",,"A63",,"Sports; games; amusements",
"2236258","1","190",,"B",,"Section B - Performing operations; transporting",
"2236259","1","200",,"B01",,"Physical or chemical processes or apparatus in general",
"2236260","1","210",,"B02",,"Crushing, pulverising, or disintegrating; preparatory treatment of grain for milling",
"2236261","1","220",,"B03",,"Separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields",
"2236262","1","230",,"B04",,"Centrifugal apparatus or machines for carrying-out physical or chemical processes",
"2236263","1","240",,"B05",,"Spraying or atomising in general; applying liquids or other fluent materials to surfaces, in general",
"2236264","1","250",,"B06",,"Generating or transmitting mechanical vibrations in general",
"2236265","1","260",,"B07",,"Separating solids from solids; sorting",
"2236266","1","270",,"B08",,"Cleaning",
"2236267","1","280",,"B09",,"Disposal of solid waste; reclamation of contaminated soil",
"2236268","1","290",,"B21",,"Mechanical metal-working without essentially removing material; punching metal",
"2236269","1","300",,"B22",,"Casting; powder metallurgy",
"2236270","1","310",,"B23",,"Machine tools; metal-working not otherwise provided for",
"2236271","1","320",,"B24",,"Grinding; polishing",
"2236272","1","330",,"B25",,"Hand tools; portable power-driven tools; handles for hand implements; workshop equipment; manipulators",
"2236273","1","340",,"B26",,"Hand cutting tools; cutting; severing",
"2236274","1","350",,"B27",,"Working or preserving wood or similar material; nailing or stapling machines in general",
"2236275","1","360",,"B28",,"Working cement, clay, or stone",
"2236276","1","370",,"B29",,"Working of plastics; working of substances in a plastic state in general",
"2236277","1","380",,"B30",,"Presses",
"2236278","1","390",,"B31",,"Making paper articles; working paper",
"2236279","1","400",,"B32",,"Layered products",
"2236280","1","410",,"B41",,"Printing; lining machines; typewriters; stamps",
"2236281","1","420",,"B42",,"Bookbinding; albums; files; special printed matter",
"2236282","1","430",,"B43",,"Writing or drawing implements; bureau accessories",
"2236283","1","440",,"B44",,"Decorative arts",
"2236284","1","450",,"B60",,"Vehicles in general",
"2236285","1","460",,"B61",,"Railways",
"2236286","1","470",,"B62",,"Land vehicles for travelling otherwise than on rails",
"2236287","1","480",,"B63",,"Ships or other waterborne vessels; related equipment",
"2236288","1","490",,"B64",,"Aircraft; aviation; cosmonautics",
"2236289","1","500",,"B65",,"Conveying; packing; storing; handling thin or filamentary material",
"2236290","1","510",,"B66",,"Hoisting; lifting; hauling",
"2236291","1","520",,"B67",,"Opening or closing bottles, jars or similar containers; liquid handling",
"2236292","1","530",,"B68",,"Saddlery; upholstery",
"2236293","1","540",,"B81",,"Micro-structural technology",
"2236294","1","550",,"B82",,"Nanotechnology",
